pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
8343623,2,9,1,1,1,2,2,1,1,9,1,1,9,0,0,0
2979162,2,9,2,1,1,1,1,0,0,6,1,1,9,10,25000,25000
5132786,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3813597,2,9,1,1,1,2,2,1,7,4,1,1,9,10,50000,50000
3205527,2,9,2,1,1,1,1,1,5,5,3,1,9,10,50000,50000
1812356,1,9,1,1,1,2,2,0,6,3,0,1,9,6,25000,25000
6942623,1,9,1,1,1,2,2,0,8,3,0,1,9,10,10000,10000
1979036,2,9,2,1,1,1,1,1,0,4,0,1,9,10,70000,70000
4410268,2,9,1,1,1,1,1,0,4,4,0,1,9,10,52085,52085
7007479,2,9,1,1,1,2,2,0,10,10,2,1,9,10,50000,50000
1423120,2,9,1,1,1,2,2,1,2,4,2,1,9,0,0,0
1747495,2,9,2,1,1,2,2,0,0,0,0,2,9,0,0,0
3322337,0,9,1,2,2,1,1,0,0,0,0,1,3,0,0,0
6506772,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8798239,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1019078,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8384382,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8982610,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6722325,2,9,1,1,1,2,2,1,3,19,1,1,9,11,10000,10000
2399286,2,9,1,1,1,1,1,1,2,26,2,1,9,14,42000,42000
1035422,2,9,1,1,1,2,2,1,6,3,0,1,9,11,12000,12000
3529178,2,9,1,1,1,1,1,1,2,3,1,1,9,10,50000,50000
8315801,2,9,1,1,1,2,2,0,6,5,0,1,9,10,10000,10000
4329756,2,9,1,1,1,2,2,0,2,5,2,1,9,10,50000,50000
8270386,0,9,2,2,2,1,1,0,5,0,2,1,3,12,25000,25000
3269648,2,9,1,1,1,2,2,1,0,10,2,1,9,10,25000,25000
9815242,0,9,1,2,2,1,1,0,0,0,0,1,3,10,50000,50000
5433072,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8650310,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3346450,2,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
